loan_amount,interest_rate,loan_term_Years,employment_status_Retired,annual_income,monthly_debt,credit_score,credit_history_years,num_credit_cards,num_loan_accounts,total_credit_limit,bankruptcy_flag,defaulted_previous,late_payments_30_59_days,late_payments_60_89_days,late_payments_90plus_days,Loan_issue_Year,Loan_issue_Month,loan_retained,interest_retained
10000,8.37,3.0,0.0,81406.0,3548.0,828.0,21.9,0,2,392134,0,0,4,3,0,2016,10,0,0.0
20000,20.51,3.0,0.0,116316.0,7061.0,545.0,12.9,1,3,358158,0,0,9,7,1,2019,11,20000,12306.0
5000,10.32,4.0,0.0,45655.0,7979.0,398.0,0.9,5,2,112151,0,0,0,0,2,2017,11,5000,2064.0
10000,17.3,3.0,0.0,209066.0,785.0,407.0,9.1,4,1,136188,0,0,10,1,3,2020,8,10000,5190.000000000001
15000,22.99,3.0,0.0,89243.0,1190.0,465.0,21.4,0,3,55973,0,0,7,1,3,2019,9,15000,10345.5
15000,5.77,2.0,0.0,28596.0,980.0,816.0,22.9,1,3,388605,0,0,2,3,4,2023,1,15000,1730.9999999999998
30000,12.75,4.0,0.0,134850.5,1079.0,423.0,6.3,1,4,103106,0,0,0,0,0,2023,2,30000,15300.0
10000,7.7,3.0,0.0,158522.0,1669.0,568.0,15.3,5,0,455603,0,0,2,2,3,2024,2,10000,2310.0
20000,23.17,3.0,0.0,120813.0,3064.0,347.0,25.5,3,1,245234,0,0,9,4,2,2024,2,20000,13902.0
20000,12.2,2.0,0.0,59996.0,656.0,565.0,11.6,0,4,128643,0,0,3,5,4,2018,6,20000,4880.0
5000,9.27,3.0,0.0,162216.0,2680.0,321.0,25.7,2,4,13776,0,0,10,2,4,2023,7,5000,1390.4999999999998
20000,18.53,3.0,0.0,227077.0,6381.0,753.0,17.1,3,2,333637,0,0,9,5,2,2020,12,0,0.0
10000,15.86,2.0,0.0,134850.5,5896.0,430.0,29.3,1,1,68191,0,0,8,1,3,2024,6,10000,3172.0
75000,20.06,3.0,0.0,21547.0,1896.0,612.0,18.5,3,5,140424,0,0,2,2,0,2022,3,75000,45135.0
75000,24.49,4.0,0.0,216315.0,6654.0,648.0,17.2,0,5,324060,0,0,5,5,1,2018,9,75000,73470.0
40000,6.81,3.0,1.0,63620.0,768.0,783.0,25.9,3,4,256106,0,0,0,1,4,2017,8,40000,8171.999999999998
10000,6.61,1.0,0.0,189450.0,5593.0,345.0,21.8,5,0,164546,0,0,0,0,3,2024,11,10000,661.0000000000001
5000,23.15,3.0,0.0,37789.0,4256.328051603623,584.0,23.8,4,4,205815,0,0,8,1,4,2017,6,5000,3472.5
25000,24.11,3.0,0.0,33403.0,5943.0,340.0,21.5,0,2,417218,0,0,7,5,0,2024,1,25000,18082.5
15000,13.13,3.0,0.0,183904.0,6114.0,418.0,6.4,2,0,337392,0,0,0,7,2,2017,11,15000,5908.5
5000,14.12,3.0,0.0,34108.0,7657.0,730.0,2.4,3,4,286541,0,0,11,5,4,2017,6,5000,2118.0
15000,12.37,4.0,0.0,20046.0,2779.0,682.0,20.7,4,5,180865,0,1,6,3,4,2019,1,15000,7421.999999999999
5000,20.55,1.0,0.0,141398.0,6368.0,740.0,26.6,7,5,263838,0,0,1,5,2,2020,3,5000,1027.5
50000,20.42,4.0,1.0,84168.0,7725.0,491.0,11.5,7,0,377146,0,0,7,0,3,2020,6,50000,40840.00000000001
10000,9.41,3.0,0.0,216250.0,1362.0,840.0,28.5,5,2,61168,0,0,3,4,0,2020,8,0,0.0
25000,12.68,3.0,0.0,168958.0,5170.0,703.0,21.4,4,2,265318,1,1,9,1,1,2019,12,25000,9510.0
10000,9.25,2.0,0.0,30706.0,2970.0,428.0,13.5,4,3,300665,1,1,4,0,2,2020,6,10000,1850.0
20000,5.93,3.0,0.0,199269.0,2220.0,397.0,11.7,0,4,360072,0,0,10,2,1,2016,5,20000,3558.0
20000,6.12,4.0,0.0,119522.0,4997.0,581.0,9.1,0,0,292309,0,0,9,0,4,2016,11,20000,4896.0
10000,7.94,4.0,0.0,245579.0,4272.0,773.0,27.2,1,1,318139,0,0,5,6,3,2022,5,0,0.0
30000,13.46,3.0,1.0,173933.0,5587.0,358.0,7.9,5,0,266600,0,0,8,3,4,2022,3,30000,12114.0
75000,6.28,2.0,0.0,124771.0,2297.0,377.0,22.6,5,2,488428,0,1,9,6,2,2022,3,75000,9420.000000000002
50000,21.95,4.0,0.0,218425.0,1127.0,742.0,25.9,6,3,20157,0,0,10,2,0,2023,5,0,0.0
20000,19.24,3.0,0.0,195324.0,775.0,797.0,22.4,4,4,214013,0,0,6,5,4,2017,3,0,0.0
50000,20.67,4.0,0.0,73503.0,6012.0,719.0,10.6,1,3,386321,0,0,1,7,4,2024,8,50000,41340.00000000001
5000,17.35,3.0,0.0,136633.0,1596.0,821.0,25.0,2,0,282863,0,0,7,1,1,2021,12,0,0.0
5000,7.27,3.0,0.0,127199.0,7636.0,525.0,0.2,2,2,330343,0,0,8,3,1,2018,7,5000,1090.5
10000,6.16,3.0,0.0,143587.0,7839.0,803.0,2.6,7,1,458685,0,1,5,7,1,2023,7,10000,1848.0
15000,24.78,3.0,0.0,86012.0,5493.0,642.0,28.9,5,0,20794,0,0,10,4,3,2016,6,15000,11151.000000000002
10000,12.46,2.0,0.0,97489.0,3894.0,683.0,1.3,7,2,184971,0,0,1,7,3,2018,11,10000,2492.0
40000,6.03,4.0,0.0,195457.0,6829.0,640.0,23.3,1,0,30196,0,0,9,3,2,2017,11,40000,9648.0
15000,8.19,1.0,0.0,140317.0,4151.0,780.0,26.9,6,0,239990,0,0,2,1,1,2019,10,0,0.0
10000,22.48,4.0,0.0,55987.0,7247.0,833.0,19.6,0,2,46578,0,0,9,7,4,2020,1,10000,8992.0
20000,9.12,2.0,0.0,108446.0,4965.0,678.0,4.2,7,5,380213,0,0,1,2,1,2015,7,20000,3648.0
5000,14.34,5.0,0.0,236023.0,7553.0,446.0,11.5,3,1,406210,0,0,8,0,0,2022,9,5000,3585.0
40000,18.35,5.0,0.0,39224.0,6458.0,837.0,21.9,6,1,492723,0,1,0,3,4,2020,2,40000,36700.00000000001
5000,24.32,3.0,0.0,218192.0,2934.0,633.0,18.3,5,2,105001,0,0,3,1,0,2016,5,5000,3648.0
100000,5.28,5.0,0.0,82867.0,1789.0,829.0,21.1,6,2,15830,0,0,5,5,1,2016,3,100000,26400.0
30000,14.75,4.0,0.0,69914.0,3729.0,376.0,23.7,1,5,169661,0,0,1,1,2,2017,1,30000,17700.0
10000,24.92,1.0,0.0,81618.0,5243.0,699.0,16.4,6,5,75891,0,0,11,5,3,2016,3,10000,2492.0
5000,7.43,5.0,0.0,80859.0,7157.0,385.0,26.7,1,3,100124,0,0,10,0,2,2021,10,5000,1857.5
40000,7.47,1.0,0.0,86908.0,2430.0,659.0,18.4,0,1,46683,0,0,8,3,2,2020,6,40000,2988.0
30000,15.16,3.0,0.0,134850.5,2589.0,576.0,28.0,1,4,80332,0,0,2,6,4,2024,9,30000,13644.0
30000,11.97,1.0,1.0,1302670.0,4376.0,770.0,21.1,4,4,300251,0,0,0,5,4,2022,12,0,0.0
15000,16.43,5.0,1.0,162337.0,4686.0,686.0,8.9,3,1,440066,1,0,8,6,0,2015,2,15000,12322.5
5000,16.62,5.0,0.0,78094.0,5724.0,801.0,1.2,6,1,353048,0,0,1,1,2,2017,7,5000,4155.000000000001
40000,15.22,4.0,0.0,43746.0,1376.0,576.0,12.8,2,4,16587,0,0,8,4,1,2015,3,40000,24352.0
25000,24.84,3.0,0.0,146376.0,903.0,510.0,4.6,7,5,89182,0,0,8,0,2,2016,12,25000,18630.0
10000,15.78,5.0,0.0,147065.0,3430.0,384.0,18.1,5,2,25824,0,0,9,3,4,2017,11,10000,7890.0
5000,6.45,2.0,0.0,170675.0,801.0,518.0,12.9,0,1,60515,0,0,2,5,3,2021,5,5000,645.0
10000,11.44,5.0,0.0,218693.0,6487.0,600.0,7.3,1,1,348311,0,0,0,6,2,2019,5,10000,5720.0
10000,20.61,3.0,0.0,1034750.0,7928.0,488.0,0.5,7,1,175893,0,0,1,0,2,2019,8,10000,6183.0
30000,17.57,4.0,0.0,236783.0,2671.0,462.0,5.1,2,5,385589,0,0,9,5,4,2017,4,30000,21084.0
25000,18.68,3.0,0.0,179482.0,5686.0,785.0,8.1,3,2,308264,0,0,8,7,2,2020,10,25000,14010.0
50000,23.44,5.0,0.0,101202.0,1001.0,441.0,1.8,2,5,475251,0,0,4,4,0,2023,10,50000,58600.00000000001
5000,5.39,4.0,0.0,32846.0,2893.0,698.0,24.6,1,2,305991,0,0,8,7,3,2015,5,5000,1078.0
25000,24.8,3.0,1.0,131798.0,3882.0,828.0,12.8,7,4,379133,0,0,9,3,3,2015,9,0,0.0
30000,14.09,4.0,0.0,48658.0,7547.0,386.0,29.4,4,4,333287,0,0,0,1,4,2018,8,30000,16908.0
20000,6.95,4.0,0.0,197266.0,7496.0,817.0,10.2,3,0,467773,0,0,0,4,3,2016,6,20000,5560.000000000001
15000,16.8,3.0,0.0,126275.0,1632.0,589.0,6.8,6,1,106663,0,0,7,2,3,2024,11,15000,7560.0
20000,16.29,2.0,0.0,135760.0,7727.0,847.0,10.4,3,2,103905,0,0,1,4,1,2022,7,20000,6516.0
15000,24.3,4.0,0.0,171123.0,1201.0,436.0,14.8,7,4,468485,0,1,5,0,1,2021,7,15000,14580.0
5000,11.39,1.0,0.0,44088.0,5405.0,699.0,19.1,2,5,222309,0,0,0,2,1,2020,7,5000,569.5
5000,5.69,5.0,0.0,13826.5,6314.0,741.0,26.4,0,5,338725,0,0,9,6,0,2021,4,5000,1422.5000000000002
25000,8.82,2.0,0.0,205386.0,842.0,832.0,8.3,4,1,236400,0,0,7,3,0,2023,12,0,0.0
20000,9.08,1.0,0.0,142172.0,6298.0,622.0,16.2,7,3,392547,1,0,8,4,4,2023,8,20000,1816.0
50000,21.58,3.0,1.0,51452.0,3256.0,830.0,15.3,0,2,126108,0,0,0,2,3,2015,11,50000,32370.0
10000,23.13,4.0,0.0,166986.0,3164.0,650.0,1.8,5,5,109206,0,0,11,1,0,2019,5,0,0.0
30000,7.95,3.0,0.0,29735.0,4867.0,425.0,0.3,3,3,66379,0,0,3,7,2,2023,6,30000,7155.0
10000,23.51,4.0,0.0,207492.0,500.0,563.0,8.7,2,5,340598,0,0,0,3,2,2016,7,10000,9404.0
5000,20.41,5.0,1.0,45961.0,5550.0,546.0,22.0,2,0,335953,0,1,2,5,2,2018,6,5000,5102.5
10000,5.78,2.0,0.0,141234.0,6568.0,673.0,15.9,7,1,53728,0,0,6,4,4,2015,9,10000,1156.0
10000,8.64,2.0,0.0,228640.0,4054.0,469.0,19.9,4,2,476247,0,0,4,4,3,2017,8,10000,1728.0
50000,13.24,3.0,0.0,92354.0,620.0,376.0,6.9,6,3,495656,0,0,7,3,1,2020,11,50000,19860.0
40000,22.28,3.0,0.0,36956.0,3855.0,842.0,23.7,3,1,42184,0,1,9,7,2,2017,4,40000,26736.0
25000,8.02,3.0,0.0,220777.0,7310.0,665.0,20.4,4,5,352894,0,0,4,1,4,2023,12,25000,6014.999999999999
50000,19.48,2.0,0.0,67351.0,3656.0,682.0,18.5,2,0,216610,0,0,10,4,2,2017,10,50000,19480.0
40000,6.67,3.0,0.0,130267.0,1960.0,302.0,2.2,5,3,345498,0,1,4,2,4,2015,3,40000,8004.0
50000,19.58,2.0,0.0,166098.0,2242.0,613.0,18.2,3,0,108627,0,0,11,1,2,2018,5,50000,19580.0
20000,6.29,2.0,0.0,225845.0,3337.0,627.0,17.8,5,1,95091,0,0,6,2,4,2015,5,20000,2516.0
40000,9.08,3.0,0.0,146341.0,7861.0,,14.4,3,5,57228,0,0,6,7,1,2020,8,40000,10896.000000000002
50000,20.84,1.0,0.0,158992.0,7054.0,546.0,7.4,4,3,444801,0,0,9,2,1,2017,5,50000,10420.0
10000,8.27,3.0,0.0,135506.0,4172.0,710.0,11.5,4,0,256600,0,0,8,5,1,2022,10,0,0.0
5000,18.35,3.0,0.0,35333.0,1768.0,815.0,19.8,5,4,305928,0,0,7,5,2,2018,9,5000,2752.5000000000005
10000,17.84,3.0,0.0,170089.0,4765.0,849.0,16.7,1,0,286717,0,0,5,6,3,2018,11,10000,5352.0
15000,15.41,3.0,0.0,145035.0,6533.0,677.0,19.7,1,4,299385,0,0,9,2,1,2017,8,15000,6934.5
40000,9.03,3.0,1.0,108114.0,5294.0,587.0,0.1,6,2,420462,0,0,5,5,0,2020,3,40000,10835.999999999998
40000,13.34,4.0,1.0,245279.0,2099.0,517.0,21.0,2,3,83019,0,0,10,7,3,2018,9,40000,21344.0
5000,17.44,5.0,0.0,153182.0,4105.0,308.0,23.1,2,1,460250,0,0,0,1,1,2022,12,5000,4360.0
20000,22.63,3.0,0.0,160860.0,4285.0,799.0,25.8,3,3,32084,1,0,5,5,2,2023,1,20000,13578.0
15000,20.96,3.0,0.0,92088.0,1159.0,328.0,8.5,5,3,348400,0,0,6,0,3,2022,8,15000,9432.0
10000,17.15,1.0,0.0,41342.0,514.0,412.0,11.7,1,1,210760,0,0,9,1,1,2017,6,10000,1714.9999999999998
5000,9.57,4.0,0.0,76006.0,6667.0,422.0,28.5,6,5,318900,0,0,4,1,3,2018,9,5000,1914.0
10000,9.33,3.0,0.0,112288.0,6754.0,407.0,26.3,4,0,166376,0,0,6,1,0,2024,3,10000,2798.9999999999995
75000,21.28,1.0,0.0,107184.0,542.0,687.0,17.3,3,2,17096,0,0,2,6,4,2020,7,75000,15960.000000000002
10000,18.29,2.0,0.0,91065.0,3857.0,,21.1,6,1,221063,0,0,3,7,1,2024,9,10000,3658.0
20000,12.16,2.0,0.0,178642.0,6130.0,320.0,3.9,3,3,232780,0,1,1,0,1,2015,9,20000,4864.0
25000,24.43,2.0,0.0,127547.0,3500.0,624.0,4.7,7,5,61198,0,0,8,5,4,2020,8,25000,12215.0
15000,22.8,3.0,0.0,173975.0,7753.0,739.0,21.8,4,2,227116,0,0,1,3,0,2017,11,15000,10260.0
100000,18.43,5.0,1.0,75811.0,7965.0,491.0,13.0,5,4,87910,0,0,2,4,0,2018,8,100000,92150.0
75000,12.38,4.0,0.0,69159.0,1392.0,813.0,10.6,6,0,354795,0,1,0,7,4,2025,1,75000,37140.0
10000,11.18,3.0,0.0,40616.0,920.0,833.0,26.0,1,2,417362,0,0,4,0,1,2020,9,10000,3354.0
15000,23.79,3.0,0.0,141981.0,2094.0,445.0,25.1,7,5,385077,0,0,5,7,2,2020,8,15000,10705.5
10000,13.87,3.0,0.0,138694.0,2471.0,591.0,15.3,4,5,444531,0,1,10,4,0,2020,4,10000,4161.0
10000,21.0,3.0,0.0,113669.0,3981.0,768.0,26.2,6,5,374245,0,0,8,6,2,2015,9,0,0.0
5000,23.79,3.0,0.0,173860.0,1007.0,638.0,17.3,7,0,345485,0,0,2,2,0,2015,5,0,0.0
20000,14.84,2.0,0.0,170922.0,965.0,695.0,0.3,6,5,256080,0,0,2,6,1,2015,11,20000,5936.0
20000,18.06,3.0,0.0,164081.0,7114.0,431.0,19.2,2,1,120934,0,0,2,4,0,2020,5,20000,10835.999999999998
5000,6.73,3.0,0.0,119665.0,2983.0,482.0,24.2,3,1,456646,0,0,0,6,2,2015,2,5000,1009.5
10000,18.05,1.0,0.0,43168.0,882.0,646.0,13.8,0,1,224890,0,0,11,4,4,2020,4,10000,1805.0
50000,9.3,1.0,0.0,229509.0,2731.0,449.0,10.2,3,3,417143,0,0,1,7,2,2025,1,50000,4650.000000000001
10000,18.41,2.0,1.0,168929.0,7696.0,725.0,8.8,0,5,104068,0,0,8,5,0,2021,12,10000,3682.000000000001
5000,7.02,3.0,0.0,134376.0,3778.0,488.0,24.5,0,3,144743,0,0,8,0,1,2022,4,5000,1053.0
15000,14.9,3.0,0.0,97428.0,7045.0,547.0,29.2,5,5,164141,0,0,0,3,2,2020,10,15000,6705.0
100000,15.42,1.0,1.0,215697.0,1491.0,647.0,24.1,7,2,136618,0,0,3,5,4,2021,7,100000,15420.0
10000,14.67,2.0,0.0,25196.0,2103.0,833.0,10.4,7,2,13375,0,0,1,3,1,2020,11,10000,2934.0
25000,20.13,1.0,0.0,162903.0,7696.0,458.0,25.8,5,5,138886,0,0,0,4,3,2022,7,25000,5032.499999999999
30000,20.09,5.0,0.0,120675.0,4756.0,387.0,7.7,0,5,35286,0,0,1,7,1,2015,9,30000,30135.0
10000,19.13,3.0,0.0,247625.0,2088.0,694.0,10.8,2,0,434537,0,0,4,2,1,2020,12,10000,5739.0
15000,23.09,3.0,0.0,113635.0,6590.0,485.0,5.9,0,0,311648,0,0,2,6,4,2020,3,15000,10390.5
25000,16.51,2.0,0.0,134850.5,944.0,411.0,24.9,5,2,456947,0,0,8,2,4,2015,11,25000,8255.000000000002
25000,11.97,3.0,1.0,152786.0,5790.0,359.0,26.2,0,4,442062,0,0,11,5,4,2017,4,25000,8977.5
20000,6.18,2.0,0.0,209613.0,3861.0,600.0,16.0,3,0,41803,0,0,5,5,0,2022,12,20000,2471.9999999999995
5000,15.72,5.0,0.0,132963.0,6352.0,775.0,17.3,0,3,389963,0,0,5,0,4,2023,3,5000,3930.0
40000,9.55,5.0,0.0,67820.0,4258.0,576.0,18.8,5,5,448159,0,0,3,6,0,2023,1,40000,19100.0
10000,12.74,3.0,0.0,186085.0,3376.0,402.0,4.1,1,3,382596,0,0,5,0,3,2021,1,10000,3822.000000000001
10000,6.0,4.0,0.0,107283.0,6015.0,539.0,14.5,3,1,433725,0,0,7,6,3,2019,7,10000,2400.0
5000,17.82,3.0,0.0,176510.0,1402.0,660.0,5.8,4,1,11097,0,0,1,5,1,2017,9,5000,2673.0
25000,11.5,3.0,0.0,224517.0,4236.0,473.0,21.2,5,0,204693,0,0,10,1,3,2016,11,25000,8625.0
5000,21.1,2.0,0.0,184435.0,5826.0,748.0,19.0,6,2,190252,0,0,8,6,4,2019,9,0,0.0
20000,7.53,2.0,1.0,121146.0,1204.0,431.0,9.4,2,0,99486,1,1,8,1,1,2019,8,20000,3012.0000000000005
10000,19.46,2.0,1.0,103085.0,3378.0,804.0,22.7,4,0,122974,0,0,2,5,4,2016,6,0,0.0
25000,6.6,3.0,0.0,229391.0,2483.0,693.0,13.0,3,3,136578,1,0,0,6,4,2021,5,25000,4950.0
10000,10.17,2.0,0.0,39971.0,3594.0,,26.3,2,4,52706,0,0,4,2,0,2020,3,10000,2034.0
25000,12.2,3.0,0.0,188989.0,6066.0,660.0,5.9,3,0,389575,0,0,4,7,4,2024,10,25000,9150.0
15000,8.14,3.0,0.0,22689.0,6803.0,675.0,22.7,6,5,261927,0,0,7,5,0,2015,5,15000,3663.0
75000,8.69,4.0,0.0,226831.0,1084.0,378.0,4.6,0,3,122165,0,0,1,7,4,2017,2,75000,26070.0
5000,18.98,3.0,0.0,170065.0,1368.0,647.0,14.0,6,3,30754,0,0,11,1,3,2021,8,5000,2847.0
10000,6.92,3.0,0.0,209350.0,3733.0,479.0,28.9,5,2,98058,0,0,10,1,0,2015,4,10000,2076.0
5000,23.68,3.0,0.0,180127.0,4985.0,734.0,15.9,6,1,124454,0,0,1,3,4,2017,3,0,0.0
50000,20.37,4.0,1.0,153685.0,1094.0,525.0,21.9,4,2,248215,0,0,5,4,3,2017,3,50000,40740.00000000001
50000,12.13,1.0,1.0,177198.0,7070.0,630.0,12.4,4,0,211890,0,0,10,2,2,2021,8,50000,6065.0
10000,17.58,1.0,0.0,114602.0,3209.0,444.0,5.8,1,0,60151,0,0,5,7,2,2019,11,10000,1757.9999999999998
40000,16.89,4.0,0.0,150782.0,868.0,401.0,11.3,7,5,290323,0,0,0,5,2,2020,3,40000,27024.0
20000,17.37,3.0,0.0,58632.0,2003.0,714.0,12.4,0,5,125843,0,0,11,7,0,2019,9,20000,10422.000000000002
20000,23.32,3.0,0.0,69086.0,2495.0,615.0,27.6,3,3,444871,0,0,5,1,2,2018,11,20000,13992.0
10000,22.62,2.0,0.0,76371.0,4336.0,352.0,19.7,4,5,48761,0,0,6,6,0,2017,9,10000,4524.0
5000,23.28,2.0,0.0,52081.0,2128.0,,28.7,4,2,348285,0,1,2,2,4,2018,2,5000,2328.0
50000,18.71,2.0,0.0,241736.0,1349.0,509.0,7.1,1,3,190208,0,0,11,2,2,2022,1,50000,18710.0
25000,14.84,3.0,0.0,139643.0,5685.0,778.0,19.7,0,2,438227,0,0,8,0,0,2023,1,0,0.0
10000,14.75,4.0,0.0,224868.0,4227.0,345.0,21.3,1,1,137578,0,0,6,3,1,2016,12,10000,5900.0
10000,20.43,1.0,0.0,104606.0,4707.0,593.0,12.8,3,2,442493,0,0,3,5,2,2017,3,10000,2043.0
30000,23.48,1.0,0.0,69736.0,4809.0,347.0,17.8,1,5,60220,0,0,8,3,4,2020,9,30000,7044.0
50000,6.76,3.0,0.0,170021.0,6092.0,366.0,18.1,5,2,115154,0,0,8,4,1,2022,12,50000,10139.999999999998
50000,22.54,3.0,0.0,182088.0,1752.0,318.0,4.7,6,0,234310,0,0,11,5,2,2024,3,50000,33810.0
30000,21.99,2.0,0.0,44255.0,3669.0,524.0,7.0,0,0,325836,0,0,9,2,2,2020,4,30000,13193.999999999998
25000,6.75,1.0,0.0,198709.0,2099.0,717.0,5.5,5,1,312191,0,0,6,0,2,2018,11,25000,1687.5
5000,18.13,2.0,0.0,164820.0,6506.0,745.0,24.5,5,5,106081,0,0,6,2,4,2019,10,5000,1813.0
10000,24.44,1.0,0.0,110029.0,3042.0,538.0,28.8,7,4,332004,0,0,4,4,1,2016,2,10000,2444.0
50000,22.03,2.0,0.0,71825.0,6644.0,673.0,24.0,0,0,321203,0,0,9,4,3,2016,1,50000,22030.000000000004
20000,6.26,3.0,0.0,103496.0,596.0,378.0,3.8,0,0,243331,0,0,3,7,4,2020,2,20000,3756.0
5000,23.5,2.0,0.0,208004.0,3296.0,302.0,1.8,7,0,325073,0,0,7,1,3,2018,10,5000,2350.0
5000,8.46,4.0,0.0,227511.0,1080.0,849.0,4.5,6,3,298602,0,0,6,7,0,2024,12,0,0.0
25000,6.45,2.0,0.0,237326.0,5405.0,522.0,15.1,7,1,75452,0,0,3,3,1,2020,9,25000,3225.0
10000,14.66,3.0,0.0,77916.0,5342.0,665.0,11.0,2,3,402976,0,0,0,5,4,2020,2,10000,4398.0
20000,21.3,4.0,0.0,212293.0,1949.0,773.0,21.9,6,0,235055,0,0,7,6,1,2024,2,0,0.0
10000,7.82,4.0,0.0,211887.0,4686.0,691.0,10.4,4,2,282637,0,0,6,3,3,2024,8,10000,3128.0
25000,10.83,4.0,0.0,248886.0,2116.0,499.0,0.3,3,2,456000,0,0,3,4,2,2020,1,25000,10830.0
10000,23.04,2.0,1.0,81661.0,665.0,743.0,22.6,1,3,256427,0,0,1,6,2,2018,7,10000,4608.0
10000,18.62,2.0,0.0,65219.0,4747.0,648.0,25.4,2,5,150892,0,0,6,0,2,2021,11,10000,3724.0
30000,18.48,4.0,0.0,201682.0,4125.0,554.0,8.1,3,0,289179,0,0,5,7,1,2023,11,30000,22176.0
25000,10.0,2.0,0.0,232477.0,2777.0,778.0,13.7,6,2,151246,0,0,8,3,1,2016,8,25000,5000.0
40000,7.92,4.0,0.0,247255.0,3401.0,602.0,22.1,1,2,186406,0,1,3,7,3,2024,4,40000,12671.999999999998
25000,22.75,5.0,0.0,39992.0,7390.0,561.0,17.7,3,0,443469,0,0,11,7,2,2020,9,25000,28437.5
20000,23.87,2.0,1.0,49140.0,2838.0,713.0,25.3,3,0,360287,0,0,4,0,2,2019,7,20000,9548.000000000002
5000,6.07,4.0,0.0,125767.0,1507.0,734.0,22.5,0,5,245264,0,0,4,4,2,2019,3,5000,1214.0
15000,15.6,3.0,0.0,232957.0,1097.0,805.0,15.5,4,3,171041,0,1,7,3,4,2019,5,15000,7020.0
10000,13.8,4.0,1.0,175649.0,5710.0,778.0,13.5,3,3,377287,0,0,8,1,1,2021,1,0,0.0
10000,19.77,3.0,0.0,179301.0,4923.0,651.0,27.7,4,2,312519,0,0,5,0,0,2015,12,0,0.0
100000,11.04,1.0,0.0,117502.0,7810.0,501.0,24.0,3,2,48963,0,0,4,6,0,2023,1,100000,11040.0
15000,17.41,4.0,0.0,134824.0,2955.0,677.0,24.9,7,0,49038,0,0,8,4,0,2020,6,0,0.0
50000,6.65,2.0,0.0,210721.0,6007.0,638.0,25.0,7,1,233180,0,0,0,6,3,2020,10,50000,6650.0
25000,21.46,5.0,1.0,216445.0,5522.0,558.0,6.3,6,4,107057,0,0,8,3,2,2019,7,25000,26825.0
30000,9.77,3.0,0.0,146858.0,3543.0,577.0,28.1,4,0,242700,0,0,2,3,2,2022,4,30000,8793.0
20000,11.28,1.0,0.0,128748.0,7023.0,758.0,14.0,3,5,497448,0,1,1,3,1,2017,9,20000,2256.0
20000,12.56,2.0,0.0,246087.0,4985.0,373.0,15.5,6,3,170232,0,0,1,5,4,2017,5,20000,5024.000000000001
15000,9.13,4.0,0.0,134850.5,7005.0,315.0,28.7,0,1,168295,0,0,6,1,2,2020,6,15000,5478.0
10000,21.18,3.0,0.0,34596.0,6142.0,737.0,5.7,2,5,283773,0,0,6,6,2,2018,4,10000,6354.0
30000,6.37,4.0,1.0,153898.0,4938.0,373.0,16.0,7,3,199931,0,0,11,2,2,2021,12,30000,7644.000000000001
10000,23.67,2.0,0.0,236742.0,744.0,735.0,16.5,0,1,23600,0,1,2,2,3,2024,2,10000,4734.0
